N,static-1,static-8,static-16,static-32,dynamic-1,dynamic-8,dynamic-16,dynamic-32,guided-1,guided-8,guided-16,guided-32,auto
1,6,6,5,6,7,5,5,25,5,5,5,5,4
2,5,5,5,5,5,5,5,6,5,5,5,30,4
3,5,5,5,5,5,5,5,5,5,5,5,5,4
4,5,5,15,5,5,5,5,6,5,6,5,5,4
5,5,5,6,5,8,5,47,5,5,5,8,6,51
6,5,5,5,5,5,5,5,5,5,5,5,5,4
7,5,5,38,5,6,5,5,5,5,5,5,5,4
8,5,5,5,15,5,131,6,5,5,5,5,5,4
9,5,4,5,4,5,5,5,5,5,5,5,5,4
10,5,5,5,5,5,5,5,5,5,5,24,5,4
11,32,5,4,5,5,5,5,6,62,5,5,5,4
12,5,5,5,41,5,5,5,26,5,5,5,5,4
13,4,5,5,5,5,5,5,5,5,5,5,5,4
14,5,5,5,5,5,6,8,5,5,5,5,5,4
15,5,5,5,5,5,6,37,5,5,8,5,5,4
16,5,5,5,5,5,5,5,15,5,5,6,5,4
17,5,5,5,5,5,5,5,5,5,5,5,5,12
18,5,10,5,5,5,5,5,5,5,5,5,5,4
19,5,4,5,5,5,5,5,5,5,5,7,5,4
20,5,5,6,5,5,5,5,5,5,5,5,5,4
21,5,5,5,8,5,5,5,5,5,5,5,5,168
22,36,5,6,5,5,5,5,5,5,5,5,7,7
23,5,5,5,5,5,5,5,5,5,5,5,53,4
24,5,5,5,5,5,5,5,5,5,5,5,5,4
25,5,5,5,5,5,5,21,5,5,5,5,5,4
26,5,54,5,5,5,5,5,5,5,5,6,10,4
27,5,5,5,5,6,5,5,5,5,5,5,5,5
28,5,5,6,5,5,5,5,5,5,5,5,5,158
29,6,5,5,5,5,5,5,5,5,5,5,5,4
30,5,5,6,5,5,5,5,5,5,5,5,25,4
31,5,5,5,5,5,5,5,5,5,5,5,5,6
32,5,5,5,5,5,5,5,5,5,5,5,5,4
33,5,5,5,5,5,5,5,5,5,5,5,5,4
34,5,5,5,5,5,5,5,5,5,5,5,5,5
35,7,5,5,5,5,5,5,5,5,5,73,5,4
36,5,5,5,5,5,5,5,5,5,5,5,5,4
37,6,5,5,5,5,5,5,5,119,64,8,5,4
38,5,5,5,5,5,5,6,5,5,5,5,5,4
39,5,5,5,5,5,5,5,5,5,5,5,5,4
40,5,5,5,5,5,5,5,5,5,5,5,5,4
41,5,5,5,5,5,5,5,5,5,5,5,5,4
42,5,5,5,5,5,5,6,6,5,5,5,22,4
43,5,5,5,7,5,5,5,5,7,5,5,5,5
44,5,5,6,5,5,5,5,5,5,5,5,5,4
45,5,5,5,5,5,5,5,5,5,5,5,5,10
46,5,5,5,5,5,5,5,5,5,5,5,5,11
47,5,5,103,5,5,5,5,5,5,6,5,5,5
48,6,5,5,5,47,6,5,5,6,5,50,5,4
49,5,5,5,5,5,5,5,5,6,5,6,5,5
50,5,5,5,6,6,5,5,5,6,5,5,9,10
51,11,5,5,5,5,5,5,5,5,5,5,5,4
52,5,5,5,5,5,5,5,5,6,5,5,5,4
53,5,7,5,5,5,5,5,5,5,5,5,5,4
54,5,5,5,5,5,5,5,5,5,5,5,5,4
55,6,5,5,5,49,5,5,5,5,5,5,5,4
56,5,5,5,5,26,5,5,5,59,5,5,6,4
57,5,5,5,5,5,5,5,5,5,5,5,5,4
58,5,5,5,42,5,6,6,5,6,5,5,8,4
59,5,5,5,5,6,5,5,5,6,5,5,5,4
60,47,5,7,5,5,5,5,5,43,6,7,5,4
61,5,5,5,5,6,5,5,5,6,5,5,5,4
62,5,5,5,5,11,5,5,5,6,5,5,5,4
63,5,5,5,5,5,5,5,5,5,5,5,6,4
64,5,5,5,5,5,5,5,5,5,5,5,5,24
65,5,5,5,5,5,5,5,5,5,6,5,5,4
66,5,5,18,5,6,5,5,5,5,5,7,5,4
67,5,5,5,9,5,5,5,5,6,5,5,5,4
68,5,5,5,5,6,5,5,5,6,5,6,5,152
69,5,5,5,5,5,5,5,5,6,5,5,5,4
70,5,5,7,6,6,6,5,5,6,5,5,6,4
71,5,5,5,5,5,5,5,6,6,5,5,15,4
72,5,5,5,95,5,5,5,5,5,5,5,6,4
73,5,5,5,5,6,6,11,5,5,5,5,7,5
74,5,5,5,9,5,5,5,5,6,5,5,5,4
75,5,5,5,5,5,5,5,137,134,12,7,5,21
76,5,5,5,5,5,8,5,5,6,5,5,5,4
77,5,5,5,5,5,5,5,6,6,5,5,5,4
78,5,5,5,5,5,5,5,6,6,25,6,5,4
79,5,5,5,5,6,6,5,6,6,5,77,5,124
