N,min_MP,ci_MP,min_NOMP,ci_NOMP
20,0,('-1.00', '4.60'),0,('nan', 'nan')
1016,5,('5.54', '16.26'),1,('nan', 'nan')
2012,7,('6.50', '8.30'),3,('2.87', '3.33')
3008,11,('7.96', '19.64'),6,('nan', 'nan')
4004,16,('15.44', '28.76'),8,('nan', 'nan')
5000,20,('19.21', '23.19'),11,('nan', 'nan')
5996,25,('18.18', '43.02'),14,('14.03', '14.77')
6992,29,('28.93', '34.87'),18,('17.87', '18.33')
7988,35,('34.58', '36.82'),22,('21.90', '22.50')
8984,40,('36.38', '53.62'),26,('25.87', '26.33')
9980,44,('44.21', '48.79'),30,('29.90', '30.50')
