N,generate,map,merge,sort,reduce,total
1600,6647458,34,566437305,1862795264,25967,1030
54139,6667515,78,566437305,1862795264,25970,21032
106678,6686392,140,566437320,1862795264,25978,40035
159217,6705912,217,566437316,1862795264,26095,60036
211756,6725541,191,566437305,1862795264,26073,80038
264295,6745492,311,566437316,1862795264,26121,100040
316834,6764835,375,566437305,1862795264,26188,119042
369373,6784838,330,566437325,1862795264,26187,139043
421912,6804598,442,566437310,1862795264,26254,159046
474451,6823249,408,566437305,1862795264,26280,178048
526990,6843459,547,566437320,1862795264,26448,199053
